📍 Resuming from checkpoint: 0 records
🚀 Starting import with batch size: 2000
📊 Target file: pp-complete.csv
✅ Imported 316,000 records (19133/sec)
✅ Imported 318,000 records (19159/sec)
✅ Imported 320,000 records (19187/sec)
✅ Imported 322,000 records (19219/sec)
✅ Imported 324,000 records (19251/sec)
✅ Imported 326,000 records (19263/sec)
✅ Imported 328,000 records (19283/sec)
✅ Imported 330,000 records (19295/sec)
✅ Imported 332,000 records (19324/sec)
✅ Imported 334,000 records (19325/sec)
✅ Imported 336,000 records (19309/sec)
✅ Imported 338,000 records (19333/sec)
✅ Imported 340,000 records (19350/sec)
✅ Imported 342,000 records (19367/sec)
✅ Imported 344,000 records (19379/sec)
✅ Imported 346,000 records (19398/sec)
✅ Imported 348,000 records (19399/sec)
✅ Imported 350,000 records (19413/sec)
✅ Imported 352,000 records (19411/sec)
✅ Imported 354,000 records (19378/sec)
✅ Imported 356,000 records (19267/sec)
✅ Imported 358,000 records (18668/sec)
✅ Imported 360,000 records (18510/sec)
✅ Imported 362,000 records (18449/sec)
✅ Imported 364,000 records (18454/sec)
✅ Imported 366,000 records (18447/sec)
✅ Imported 368,000 records (18431/sec)
✅ Imported 370,000 records (18412/sec)
✅ Imported 372,000 records (18431/sec)
✅ Imported 374,000 records (18458/sec)
✅ Imported 376,000 records (18434/sec)
✅ Imported 378,000 records (18451/sec)
✅ Imported 380,000 records (18485/sec)
✅ Imported 382,000 records (18510/sec)
✅ Imported 384,000 records (18531/sec)
✅ Imported 386,000 records (18549/sec)
✅ Imported 388,000 records (18566/sec)
✅ Imported 390,000 records (18579/sec)
✅ Imported 392,000 records (18589/sec)
✅ Imported 394,000 records (18609/sec)
✅ Imported 396,000 records (18631/sec)
✅ Imported 398,000 records (18652/sec)
✅ Imported 400,000 records (18675/sec)
✅ Imported 402,000 records (18692/sec)
✅ Imported 404,000 records (18702/sec)
✅ Imported 406,000 records (18717/sec)
✅ Imported 408,000 records (18725/sec)
✅ Imported 410,000 records (18739/sec)
✅ Imported 412,000 records (18752/sec)
✅ Imported 414,000 records (18770/sec)
✅ Imported 416,000 records (18780/sec)
✅ Imported 418,000 records (18796/sec)
✅ Imported 420,000 records (18809/sec)
✅ Imported 422,000 records (18826/sec)
✅ Imported 424,000 records (18834/sec)
✅ Imported 426,000 records (18840/sec)
✅ Imported 428,000 records (18859/sec)
✅ Imported 430,000 records (18882/sec)
✅ Imported 432,000 records (18898/sec)
✅ Imported 434,000 records (18831/sec)
✅ Imported 436,000 records (18809/sec)
✅ Imported 438,000 records (18807/sec)
✅ Imported 440,000 records (18820/sec)
✅ Imported 442,000 records (18789/sec)
✅ Imported 444,000 records (18798/sec)
✅ Imported 446,000 records (18811/sec)
✅ Imported 448,000 records (18830/sec)
✅ Imported 450,000 records (18853/sec)
✅ Imported 452,000 records (18862/sec)
✅ Imported 454,000 records (18866/sec)
✅ Imported 456,000 records (18873/sec)
✅ Imported 458,000 records (18866/sec)
✅ Imported 460,000 records (18860/sec)
✅ Imported 462,000 records (18843/sec)
✅ Imported 464,000 records (18813/sec)
✅ Imported 466,000 records (18812/sec)
✅ Imported 468,000 records (18817/sec)
