2025-07-16T12:46:57.333Z: Setting up SQLite database and EPC table...
2025-07-16T12:46:57.351Z: Database setup complete.
2025-07-16T12:46:57.352Z: Loading EPC data into SQLite...
2025-07-16T12:47:27.325Z: Loaded 8,500,000 EPC records into DB...
2025-07-16T12:47:27.673Z: Loaded 8,600,000 EPC records into DB...
2025-07-16T12:47:28.046Z: Loaded 8,700,000 EPC records into DB...
2025-07-16T12:47:28.392Z: Loaded 8,800,000 EPC records into DB...
2025-07-16T12:47:28.732Z: Loaded 8,900,000 EPC records into DB...
2025-07-16T12:47:29.072Z: Loaded 9,000,000 EPC records into DB...
2025-07-16T12:47:29.418Z: Loaded 9,100,000 EPC records into DB...
2025-07-16T12:47:29.771Z: Loaded 9,200,000 EPC records into DB...
2025-07-16T12:47:30.121Z: Loaded 9,300,000 EPC records into DB...
2025-07-16T12:47:30.476Z: Loaded 9,400,000 EPC records into DB...
2025-07-16T12:47:30.823Z: Loaded 9,500,000 EPC records into DB...
2025-07-16T12:47:31.175Z: Loaded 9,600,000 EPC records into DB...
2025-07-16T12:47:31.529Z: Loaded 9,700,000 EPC records into DB...
2025-07-16T12:47:31.881Z: Loaded 9,800,000 EPC records into DB...
2025-07-16T12:47:32.233Z: Loaded 9,900,000 EPC records into DB...
2025-07-16T12:47:32.581Z: Loaded 10,000,000 EPC records into DB...
2025-07-16T12:47:32.929Z: Loaded 10,100,000 EPC records into DB...
2025-07-16T12:47:33.271Z: Loaded 10,200,000 EPC records into DB...
2025-07-16T12:47:33.618Z: Loaded 10,300,000 EPC records into DB...
2025-07-16T12:47:33.959Z: Loaded 10,400,000 EPC records into DB...
2025-07-16T12:47:34.306Z: Loaded 10,500,000 EPC records into DB...
2025-07-16T12:47:34.657Z: Loaded 10,600,000 EPC records into DB...
2025-07-16T12:47:35.007Z: Loaded 10,700,000 EPC records into DB...
2025-07-16T12:47:35.360Z: Loaded 10,800,000 EPC records into DB...
2025-07-16T12:47:35.710Z: Loaded 10,900,000 EPC records into DB...
2025-07-16T12:47:36.064Z: Loaded 11,000,000 EPC records into DB...
2025-07-16T12:47:36.414Z: Loaded 11,100,000 EPC records into DB...
2025-07-16T12:47:36.769Z: Loaded 11,200,000 EPC records into DB...
2025-07-16T12:47:37.122Z: Loaded 11,300,000 EPC records into DB...
2025-07-16T12:47:37.473Z: Loaded 11,400,000 EPC records into DB...
2025-07-16T12:47:37.819Z: Loaded 11,500,000 EPC records into DB...
2025-07-16T12:47:38.167Z: Loaded 11,600,000 EPC records into DB...
2025-07-16T12:47:38.513Z: Loaded 11,700,000 EPC records into DB...
2025-07-16T12:47:38.860Z: Loaded 11,800,000 EPC records into DB...
2025-07-16T12:47:39.210Z: Loaded 11,900,000 EPC records into DB...
2025-07-16T12:47:39.560Z: Loaded 12,000,000 EPC records into DB...
2025-07-16T12:47:39.908Z: Loaded 12,100,000 EPC records into DB...
2025-07-16T12:47:40.250Z: Loaded 12,200,000 EPC records into DB...
2025-07-16T12:47:40.598Z: Loaded 12,300,000 EPC records into DB...
2025-07-16T12:47:40.950Z: Loaded 12,400,000 EPC records into DB...
2025-07-16T12:47:41.307Z: Loaded 12,500,000 EPC records into DB...
2025-07-16T12:47:41.658Z: Loaded 12,600,000 EPC records into DB...
2025-07-16T12:47:42.011Z: Loaded 12,700,000 EPC records into DB...
2025-07-16T12:47:42.366Z: Loaded 12,800,000 EPC records into DB...
2025-07-16T12:47:42.725Z: Loaded 12,900,000 EPC records into DB...
2025-07-16T12:47:43.089Z: Loaded 13,000,000 EPC records into DB...
2025-07-16T12:47:43.441Z: Loaded 13,100,000 EPC records into DB...
2025-07-16T12:47:43.794Z: Loaded 13,200,000 EPC records into DB...
2025-07-16T12:47:44.142Z: Loaded 13,300,000 EPC records into DB...
2025-07-16T12:47:44.492Z: Loaded 13,400,000 EPC records into DB...
2025-07-16T12:47:44.843Z: Loaded 13,500,000 EPC records into DB...
2025-07-16T12:47:45.286Z: Loaded 13,600,000 EPC records into DB...
2025-07-16T12:47:45.641Z: Loaded 13,700,000 EPC records into DB...
2025-07-16T12:47:46.009Z: Loaded 13,800,000 EPC records into DB...
2025-07-16T12:47:46.368Z: Loaded 13,900,000 EPC records into DB...
2025-07-16T12:47:46.716Z: Loaded 14,000,000 EPC records into DB...
2025-07-16T12:47:47.062Z: Loaded 14,100,000 EPC records into DB...
2025-07-16T12:47:47.414Z: Loaded 14,200,000 EPC records into DB...
2025-07-16T12:47:47.772Z: Loaded 14,300,000 EPC records into DB...
2025-07-16T12:47:48.120Z: Loaded 14,400,000 EPC records into DB...
2025-07-16T12:47:48.471Z: Loaded 14,500,000 EPC records into DB...
2025-07-16T12:47:48.817Z: Loaded 14,600,000 EPC records into DB...
2025-07-16T12:47:49.166Z: Loaded 14,700,000 EPC records into DB...
2025-07-16T12:47:49.512Z: Loaded 14,800,000 EPC records into DB...
2025-07-16T12:47:49.857Z: Loaded 14,900,000 EPC records into DB...
2025-07-16T12:47:50.206Z: Loaded 15,000,000 EPC records into DB...
2025-07-16T12:47:50.553Z: Loaded 15,100,000 EPC records into DB...
2025-07-16T12:47:50.906Z: Loaded 15,200,000 EPC records into DB...
2025-07-16T12:47:51.257Z: Loaded 15,300,000 EPC records into DB...
2025-07-16T12:47:51.602Z: Loaded 15,400,000 EPC records into DB...
2025-07-16T12:47:51.952Z: Loaded 15,500,000 EPC records into DB...
2025-07-16T12:47:52.304Z: Loaded 15,600,000 EPC records into DB...
2025-07-16T12:47:52.659Z: Loaded 15,700,000 EPC records into DB...
2025-07-16T12:47:53.012Z: Loaded 15,800,000 EPC records into DB...
2025-07-16T12:47:53.363Z: Loaded 15,900,000 EPC records into DB...
2025-07-16T12:47:53.711Z: Loaded 16,000,000 EPC records into DB...
2025-07-16T12:47:54.065Z: Loaded 16,100,000 EPC records into DB...
2025-07-16T12:47:54.418Z: Loaded 16,200,000 EPC records into DB...
2025-07-16T12:47:54.766Z: Loaded 16,300,000 EPC records into DB...
2025-07-16T12:47:55.115Z: Loaded 16,400,000 EPC records into DB...
2025-07-16T12:47:55.472Z: Loaded 16,500,000 EPC records into DB...
2025-07-16T12:47:55.822Z: Loaded 16,600,000 EPC records into DB...
2025-07-16T12:47:56.169Z: Loaded 16,700,000 EPC records into DB...
2025-07-16T12:47:56.522Z: Loaded 16,800,000 EPC records into DB...
2025-07-16T12:47:56.876Z: Loaded 16,900,000 EPC records into DB...
2025-07-16T12:47:57.233Z: Loaded 17,000,000 EPC records into DB...
2025-07-16T12:47:57.586Z: Loaded 17,100,000 EPC records into DB...
2025-07-16T12:47:57.945Z: Loaded 17,200,000 EPC records into DB...
2025-07-16T12:47:58.298Z: Loaded 17,300,000 EPC records into DB...
2025-07-16T12:47:58.646Z: Loaded 17,400,000 EPC records into DB...
2025-07-16T12:47:58.995Z: Loaded 17,500,000 EPC records into DB...
2025-07-16T12:47:59.346Z: Loaded 17,600,000 EPC records into DB...
2025-07-16T12:47:59.699Z: Loaded 17,700,000 EPC records into DB...
2025-07-16T12:48:00.052Z: Loaded 17,800,000 EPC records into DB...
2025-07-16T12:48:00.397Z: Loaded 17,900,000 EPC records into DB...
2025-07-16T12:48:00.744Z: Loaded 18,000,000 EPC records into DB...
2025-07-16T12:48:01.090Z: Loaded 18,100,000 EPC records into DB...
2025-07-16T12:48:01.442Z: Loaded 18,200,000 EPC records into DB...
2025-07-16T12:48:01.792Z: Loaded 18,300,000 EPC records into DB...
2025-07-16T12:48:02.141Z: Loaded 18,400,000 EPC records into DB...
2025-07-16T12:48:02.492Z: Loaded 18,500,000 EPC records into DB...
2025-07-16T12:48:02.843Z: Loaded 18,600,000 EPC records into DB...
2025-07-16T12:48:03.199Z: Loaded 18,700,000 EPC records into DB...
2025-07-16T12:48:03.550Z: Loaded 18,800,000 EPC records into DB...
2025-07-16T12:48:03.902Z: Loaded 18,900,000 EPC records into DB...
2025-07-16T12:48:04.253Z: Loaded 19,000,000 EPC records into DB...
2025-07-16T12:48:04.606Z: Loaded 19,100,000 EPC records into DB...
2025-07-16T12:48:04.956Z: Loaded 19,200,000 EPC records into DB...
2025-07-16T12:48:05.303Z: Loaded 19,300,000 EPC records into DB...
2025-07-16T12:48:05.655Z: Loaded 19,400,000 EPC records into DB...
2025-07-16T12:48:06.000Z: Loaded 19,500,000 EPC records into DB...
2025-07-16T12:48:06.354Z: Loaded 19,600,000 EPC records into DB...
2025-07-16T12:48:06.707Z: Loaded 19,700,000 EPC records into DB...
2025-07-16T12:48:07.058Z: Loaded 19,800,000 EPC records into DB...
2025-07-16T12:48:07.413Z: Loaded 19,900,000 EPC records into DB...
2025-07-16T12:48:07.760Z: Loaded 20,000,000 EPC records into DB...
2025-07-16T12:48:08.108Z: Loaded 20,100,000 EPC records into DB...
2025-07-16T12:48:08.459Z: Loaded 20,200,000 EPC records into DB...
2025-07-16T12:48:08.809Z: Loaded 20,300,000 EPC records into DB...
2025-07-16T12:48:09.159Z: Loaded 20,400,000 EPC records into DB...
2025-07-16T12:48:09.505Z: Loaded 20,500,000 EPC records into DB...
2025-07-16T12:48:09.853Z: Loaded 20,600,000 EPC records into DB...
2025-07-16T12:48:10.208Z: Loaded 20,700,000 EPC records into DB...
2025-07-16T12:48:10.558Z: Loaded 20,800,000 EPC records into DB...
2025-07-16T12:48:10.863Z: Finished loading 20,882,037 EPC records.
2025-07-16T12:48:10.864Z: Loading HPI data...
2025-07-16T12:48:10.864Z: Starting merge and enrichment...
2025-07-16T12:48:25.391Z: Processed 25,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:48:38.698Z: Processed 50,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:48:50.881Z: Processed 75,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:49:00.363Z: Processed 100,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:49:12.359Z: Processed 125,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:49:27.533Z: Processed 150,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:49:39.807Z: Processed 175,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:49:52.116Z: Processed 200,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:50:06.868Z: Processed 225,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:50:19.256Z: Processed 250,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:50:30.051Z: Processed 275,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:50:43.625Z: Processed 300,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:50:59.334Z: Processed 325,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:51:11.763Z: Processed 350,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:51:24.353Z: Processed 375,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:51:34.224Z: Processed 400,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:51:46.269Z: Processed 425,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:51:59.082Z: Processed 450,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:52:11.144Z: Processed 475,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:52:23.051Z: Processed 500,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:52:33.558Z: Processed 525,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:52:46.271Z: Processed 550,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:52:58.543Z: Processed 575,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:53:09.873Z: Processed 600,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:53:23.003Z: Processed 625,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:53:36.064Z: Processed 650,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:53:44.920Z: Processed 675,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:53:57.466Z: Processed 700,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:54:09.331Z: Processed 725,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:54:22.027Z: Processed 750,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:54:33.848Z: Processed 775,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:54:47.606Z: Processed 800,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:55:01.841Z: Processed 825,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:55:14.701Z: Processed 850,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
2025-07-16T12:55:26.639Z: Processed 875,000 properties. EPC Match: 0.0%, HPI Match: 0.0%
